MGT_type,Clades,Lineages,Continents_70%,Source,Temporal,Outbreak,MDR_MGT-ST
MGT4_ST48,,,Europe,,,,
MGT4_ST480,,,Europe,,,,
MGT4_ST481,,,Europe,,,,
MGT4_ST49,,,Oceania,,,,
MGT4_ST492,,,Europe,,,,
MGT4_ST51,,,Oceania,,,,
MGT4_ST512,,,North America,,,,
MGT4_ST52,,,,,,,
MGT4_ST521,,,Europe,,,,
MGT4_ST54,,,,,,,MGT4_ST54
MGT4_ST542,,,,,,,
MGT4_ST55,,,,,,,
MGT4_ST58,,,,,,,
MGT4_ST640,,,,,,,MGT4_ST640
MGT4_ST644,,,Europe,,,,
MGT4_ST649,,,,,,,MGT4_ST649
MGT4_ST65,,,Asia,,,,
MGT4_ST657,,,North America,,,,
MGT4_ST66,,,Europe,,,,
MGT4_ST666,,,North America,,,,
MGT4_ST668,,,Europe,,,,
MGT4_ST682,,,Europe,,,,
MGT4_ST685,,,Europe,,,,
MGT4_ST688,,,North America,,,,
MGT4_ST69,,,,,,,
MGT4_ST690,,,Europe,,,,
MGT4_ST701,,,Europe,,,,
MGT4_ST708,,,Europe,,,,
MGT4_ST709,,,,,,,
MGT4_ST710,,,Europe,,,,
MGT4_ST718,,,,,,,MGT4_ST718
MGT4_ST72,,,,,,,
MGT4_ST720,,,Europe,,,,
MGT4_ST750,,,Europe,,,,
MGT4_ST758,,,North America,,,,
MGT4_ST76,,,Europe,,,,
MGT4_ST768,,,North America,,,,
MGT4_ST77,,,Europe,,,,
MGT4_ST784,,,North America,,,,
MGT4_ST809,,,North America,,,,
MGT4_ST811,,,North America,,,,
MGT4_ST82,,,Europe,,,,
MGT4_ST83,,,Europe,,,,
MGT4_ST860,,,North America,,,,
MGT4_ST874,,,North America,,,,
MGT4_ST9,,,,,,,MGT4_ST9
MGT4_ST911,,,,,,,MGT4_ST911
MGT4_ST955,,,,,,,MGT4_ST955
MGT4_ST956,,,North America,,,,
MGT4_ST970,,,North America,,,,
MGT4_ST988,,,Europe,,,,
MGT4_ST989,,,Europe,,,,
MGT4_ST99,,,North America,Avain; Human,,,
MGT4_ST990,,,Europe,,,,
MGT5_CC1,Clade B,Global epidemic MGT4_CC1,,,,,
MGT5_CC24,Clade B,Global epidemic MGT4_CC13,,,,,
MGT5_CC82,Clade B,Europe MGT4_CC30,,,,,
MGT5_ST1,,,Europe,,,,
MGT5_ST104,,,Africa,,,,
MGT5_ST1053,,,North America,,,,
MGT5_ST1057,,,North America,,,,
MGT5_ST1060,,,North America,,,,
MGT5_ST1062,,,North America,,,,
MGT5_ST1063,,,North America,,,,
MGT5_ST1066,,,North America,,,,
MGT5_ST1070,,,North America,,,,
MGT5_ST1076,,,North America,,,,
MGT5_ST1084,,,Europe,,,,
MGT5_ST1087,,,Europe,,,,
MGT5_ST1092,,,Europe,,,,
MGT5_ST1097,,,,,,,
MGT5_ST11,,,,,,,MGT5_ST11
MGT5_ST1100,,,Europe,,,,
MGT5_ST1114,,,North America,,,,
MGT5_ST1116,,,Europe,,,,
MGT5_ST1118,,,Europe,,,,
MGT5_ST1126,,,Europe,,,,
MGT5_ST1127,,,Europe,,,,
MGT5_ST1129,,,North America,,,,
MGT5_ST1130,,,Europe,,,,
MGT5_ST1139,,,Europe,,,,
MGT5_ST114,,,Africa,,,,
MGT5_ST1141,,,Europe,,,,
MGT5_ST1147,,,Europe,,,,
MGT5_ST1148,,,Europe,,,,
MGT5_ST115,,,Africa,,,,
MGT5_ST1158,,,Europe,,,,
MGT5_ST116,,,Europe,,,,
MGT5_ST117,,,Europe,,,,
MGT5_ST1190,,,Europe,,,,
MGT5_ST120,,,Europe,,,,
MGT5_ST1220,,,Europe,,,,
MGT5_ST124,,,North America,,,,
MGT5_ST1250,,,North America,,,,
MGT5_ST1254,,,North America,,,,
MGT5_ST1262,,,North America,,,,
MGT5_ST1270,,,North America,,,,
MGT5_ST1282,,,North America,,,,
MGT5_ST1286,,,North America,,,,
MGT5_ST1295,,,North America,,,,
MGT5_ST1297,,,North America,,,,
MGT5_ST1309,,,North America,,,,
MGT5_ST1313,,,North America,,,,
MGT5_ST1336,,,North America,,,,
MGT5_ST1362,,,Europe,,,,
MGT5_ST14,,,Africa,,,,
MGT5_ST15,,,Europe,,,,
MGT5_ST1509,,,North America,,,,
MGT5_ST1517,,,North America,,,,
MGT5_ST156,,,Europe,,,,
MGT5_ST1576,,,North America,,,,
MGT5_ST1577,,,North America,,,,
MGT5_ST160,,,North America,,,,
MGT5_ST1627,,,North America,,,,
MGT5_ST164,,,North America,,,,
MGT5_ST1647,,,North America,,,,
MGT5_ST165,,,North America,,,,
MGT5_ST1654,,,North America,,,,
MGT5_ST1660,,,North America,,,,
MGT5_ST171,,,North America,,,,
MGT5_ST1719,,,North America,,,,
MGT5_ST1720,,,North America,,,,
MGT5_ST176,,,North America,,,,
MGT5_ST1761,,,North America,,,,
MGT5_ST1766,,,North America,,,,
MGT5_ST177,,,North America,,,,
MGT5_ST1789,,,Europe,,,,
MGT5_ST184,,,North America,,,,
MGT5_ST1881,,,,,,,MGT5_ST1881
MGT5_ST189,,,North America,,,,
MGT5_ST1904,,,Europe,,,,
MGT5_ST1920,,,Europe,,,,
MGT5_ST1949,,,North America,,,,
MGT5_ST1953,,,North America,,,,
MGT5_ST196,,,North America,,,,
